track_id,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,favorite
3nS9a01VvXHQriLqJYwRqG,0.825,0.114,0.458,145.115,0.0,-7.47,0.102,197760,0,0.161,0.0577,1
40mjsnRjCpycdUw3xhS20g,0.594,0.135,0.676,143.477,0.0,-5.808,0.163,181145,2,0.472,0.344,1
7FGdjbZ32vMybPuP0IuE7d,0.759,0.151,0.538,146.933,0.0,-8.256,0.126,184490,8,0.831,0.384,1
0jiW3PNiHJxOhWh9oPBJ7m,0.826,0.483,0.422,119.997,0.0,-8.217,0.108,228107,3,0.223,0.11,1
0VXfZi7XhfJnuBvF6XiypU,0.496,0.159,0.693,129.929,0.0261,-9.576,0.142,210673,5,0.597,0.247,1
098a0ODkRj8IUbEGVZMsyN,0.743,0.154,0.617,86.965,0.0,-7.008,0.0692,204138,0,0.453,0.0656,1
05nbZ1xxVNwUTcGwLbp7CN,0.749,0.648,0.398,80.032,1.26e-06,-7.44,0.115,226040,5,0.0859,0.171,1
0Rq6JJwpZ9f1SU6Cfhgjv7,0.958,0.0823,0.478,120.042,0.0,-7.669,0.126,162254,7,0.379,0.192,1
2uwnP6tZVVmTovzX5ELooy,0.667,0.324,0.608,99.992,0.000198,-7.054,0.426,241160,1,0.475,0.216,1
4S7YHmlWwfwArgd8LfSPud,0.598,0.194,0.252,120.064,0.133,-15.086,0.0992,238307,2,0.0352,0.0644,1
60Mq4EumvcSXznNugo9Op3,0.726,0.584,0.824,130.118,1.14e-06,-5.011,0.113,289587,7,0.382,0.345,1
1qsHYUd2c1wFGcn7e63QmG,0.683,0.15,0.776,173.996,0.0,-3.251,0.227,188773,1,0.223,0.341,1
3zpGLSQ8QbbUnNjweWPLMD,0.753,0.0725,0.777,157.148,0.000714,-5.701,0.125,171453,11,0.669,0.32,1
4wVOKKEHUJxHCFFNUWDn0B,0.735,0.629,0.449,122.947,0.0,-7.507,0.113,220488,10,0.0397,0.347,1
5ihDGnhQgMA0F0tk9fNLlA,0.861,0.00761,0.448,125.022,0.000408,-8.256,0.0902,265213,2,0.0487,0.111,1
6GnhWMhgJb7uyiiPEiEkDA,0.843,0.47,0.435,120.058,0.0,-8.442,0.147,208080,8,0.19,0.178,1
4gmmRb6bZJffOOiww1JGTO,0.906,0.136,0.444,140.063,6.44e-05,-8.692,0.173,235040,4,0.678,0.384,1
1sFstGV1Z3Aw5TDFCiT7vK,0.725,0.0321,0.601,155.918,0.0,-9.03,0.0504,185062,1,0.811,0.377,1
3sTN90bIP2cJ1783ctHykO,0.625,0.147,0.763,88.753,0.0106,-4.997,0.214,192160,8,0.721,0.129,1
3Ygy1L8ABabUA7MwoOLiPM,0.565,0.252,0.722,194.276,0.107,-7.565,0.245,220907,10,0.347,0.141,1
5x8NgG7Ya18m9wafOvvWYk,0.458,0.0185,0.697,172.584,0.0,-5.02,0.784,174863,1,0.495,0.325,1
3bhyo2ED5Yd4RLydQBDtD6,0.696,0.177,0.526,88.931,0.0,-10.504,0.192,185973,11,0.703,0.171,1
