track_name,track_id,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness
BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,0.687,0.0575,0.887,114.941,2.21e-06,-5.04,0.27,278282,1,0.853,0.0826
I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,0.733,0.121,0.67,100.964,0.0,-6.009,0.121,192841,5,0.472,0.0751
Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,0.44,0.891,0.317,169.914,4.78e-06,-9.258,0.141,233456,8,0.268,0.0531
As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.342,0.731,173.93,0.00101,-5.338,0.311,167303,6,0.662,0.0557
Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,0.881,0.619,0.592,101.058,1.32e-05,-4.898,0.0901,154487,2,0.719,0.0324
Massive,28JBD8p18xNuOfyV7Cotdn,0.499,0.114,0.671,124.994,0.0169,-6.774,0.148,336924,4,0.0557,0.0561
About Damn Time,1PckUlxKqWQs3RlWXVBLw3,0.836,0.0995,0.743,108.966,0.0,-6.305,0.335,191822,10,0.722,0.0656
Running Up That Hill (A Deal With God) - 2018 Remaster,29d0nY7TzCoi22XBqDQkiP,0.625,0.659,0.533,108.296,0.00266,-11.903,0.0546,300840,10,0.139,0.0596
First Class,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.0254,0.563,106.998,9.71e-06,-6.135,0.113,173948,8,0.324,0.102
Woman,6Uj1ctrBOjOas8xZXGqKk4,0.824,0.0888,0.764,107.998,0.00294,-4.175,0.117,172627,5,0.881,0.0854
Late To Da Party (feat. Youngboy Never Broke Again),3GbQcjKWT7eVpUfzqwUjxv,0.872,0.0254,0.422,149.956,0.0,-7.415,0.109,180666,1,0.778,0.363
Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,0.647,0.08,0.686,79.928,1.34e-06,-5.745,0.528,258299,3,0.268,0.0413
WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,0.463,0.314,0.642,83.389,0.0,-4.474,0.0686,189893,1,0.339,0.34
Ghost,5dPz35akJjPqb17yeqNwqH,0.604,0.178,0.741,153.947,3.49e-05,-5.571,0.409,153190,2,0.473,0.0475
Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,0.714,0.298,0.728,114.996,0.0,-4.595,0.106,177955,10,0.901,0.0468
Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,0.756,0.182,0.697,94.996,0.0,-6.377,0.333,206071,8,0.956,0.0401
Vegas (From the Original Motion Picture Soundtrack ELVIS),0hquQWY3xvYqN4qtiquniF,0.801,0.0777,0.601,159.969,3.23e-05,-7.574,0.145,182907,8,0.74,0.255
PROVENZA,7dSZ6zGTQx66c2GF91xCrb,0.87,0.656,0.516,111.005,0.00823,-8.006,0.11,210200,1,0.53,0.0541
Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,0.671,0.515,0.636,120.966,0.000411,-8.117,0.172,148197,6,0.262,0.103
Sunroof,3RfTeIrWS8LNrfHYwechtt,0.768,0.35,0.716,131.43,0.0,-5.11,0.15,163026,10,0.841,0.0404
Big Energy,4pi1G1x8tl9VfdD9bL3maT,0.937,0.0453,0.793,106.022,0.0,-4.431,0.341,172540,11,0.794,0.115
Yet To Come,10SRMwb9EuVS1K9rYsBfHQ,0.559,0.0432,0.885,172.029,0.0,-4.515,0.333,193594,1,0.683,0.189
Light Switch,1BSMpVGWs3v5BZKnAQziAc,0.69,0.105,0.626,184.009,0.000335,-5.693,0.0881,185681,6,0.912,0.306
Te Felicito,2rurDawMfoKP4uHyb2kJBt,0.695,0.234,0.636,174.14,0.0,-4.654,0.081,172235,5,0.575,0.317
Cooped Up (with Roddy Ricch),7DwcBgdzqhFJltEaV1XF81,0.669,0.038,0.773,93.923,0.0,-5.619,0.113,185857,0,0.377,0.153
THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.00614,0.846,87.981,0.0,-4.51,0.0486,143901,1,0.546,0.22
Potion (with Dua Lipa & Young Thug),7fYRg3CEbk6rNCuzNzMT06,0.824,0.158,0.697,99.988,4.11e-05,-4.869,0.077,214460,11,0.757,0.0473
MIDDLE OF THE NIGHT,58HvfVOeJY7lUuCqF0m3ly,0.41,0.0228,0.611,185.727,0.0,-8.271,0.116,184448,4,0.0899,0.0467
she's all i wanna be,0IuVhCflrQPMGRrOyoY5RW,0.614,0.0134,0.644,160.036,7.07e-06,-5.372,0.117,206772,2,0.651,0.0426
I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.0826,0.797,139.994,0.000745,-5.927,0.0546,148486,0,0.825,0.0475
Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,0.814,0.167,0.628,123.977,0.0,-7.178,0.101,201334,7,0.677,0.221
Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.0901,0.712,92.005,2.68e-05,-5.105,0.0933,178567,1,0.425,0.0817
