,artist_name,end_time,ms_played,track_name,track_id
0,Lil Baby,2022-05-06 04:54,142273,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ
1,Drake,2022-05-06 04:59,256029,Used To,63p3Slj0shAFP0Q7dQetj5
2,J. Cole,2022-05-06 04:59,789,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf
3,Drake,2022-05-06 04:59,882,Energy,79XrkTOfV1AqySNjVlygpW
4,Kanye West,2022-05-06 04:59,719,Praise God,0WSEq9Ko4kFPt8yo3ICd6T
5,Lil Yachty,2022-05-06 04:59,905,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),7wsmIIm0xWmtP7TmACXkJn
6,J. Cole,2022-05-06 05:02,218210,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf
7,Kanye West,2022-05-06 05:03,30927,Praise God,0WSEq9Ko4kFPt8yo3ICd6T
8,Drake,2022-05-06 05:03,835,Gyalchester,6UjfByV1lDLW0SOVQA4NAi
9,Young Money,2022-05-06 05:06,188320,Trophies,6HfOzLLjsaXsehIFEsrxTk
10,A$AP Rocky,2022-05-06 05:09,205040,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z
11,JACKBOYS,2022-05-06 05:12,157712,OUT WEST (feat. Young Thug),6gi6y1xwmVszDWkUqab1qw
12,Kendrick Lamar,2022-05-06 05:15,150609,untitled 07 | levitate,6QvxTX9zvo4u7XhP9vOP3n
13,Pooh Shiesty,2022-05-06 05:18,184489,Back In Blood (feat. Lil Durk),7JuHVG3qQKQKxC4doneXVW
14,Gunna,2022-05-06 05:21,167840,thought i was playing,5dqeWGM9sqLd5bZhyBikrZ
15,Playboi Carti,2022-05-06 05:23,158575,Rockstar Made,3cWmqvMwVQKDigWLSZ3w9h
16,Avicii,2022-05-06 05:26,175612,The Nights,0ct6r3EGTcMLPtrXHDvVjc
17,Sebastian Ingrosso,2022-05-06 05:29,193909,Calling (Lose My Mind) - Radio Edit,6LNjIsgHNs4q75uPt4rYf6
18,David Guetta,2022-05-06 05:29,487,Memories (feat. Kid Cudi),4dTaAiV9xFFCxnPur9c9yL
19,LMFAO,2022-05-06 05:32,140155,Party Rock Anthem,0IkKz2J93C94Ei4BvDop7P
20,Rihanna,2022-05-06 05:34,127849,We Found Love,6qn9YLKt13AGvpq9jfO8py
21,J. Cole,2022-05-06 05:37,1021,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG
22,Drake,2022-05-06 05:37,1509,Hype,5NFYuqu8V6QXc6mzcLImd6
23,Jack Harlow,2022-05-06 05:37,835,Route 66 (feat. EST Gee),5faz5WYRJdRDiCa42DSgHR
24,Young Thug,2022-05-06 05:37,882,Stressed (with J. Cole & T-Shyne),0uqsdBw9KvD8jSWmfMmMAp
25,Travis Scott,2022-05-06 05:37,131680,NO BYSTANDERS,6OaVWaGfhXn70ZJfdVcabn
26,Westside Gunn,2022-05-06 05:37,719,Bash money (feat. Lil Wayne),7KOV7goz91wTufZxO51Ebn
27,J. Cole,2022-05-06 05:42,135279,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG
28,Baby Keem,2022-05-06 05:50,240744,range brothers (with Kendrick Lamar),0UTyLmkQgPOEIz95OVAJTR
29,Bruno Mars,2022-05-06 05:54,197442,Smokin Out The Window,3xVZYkcuWalGudeKl861wb
30,Kanye West,2022-05-06 06:02,105272,Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ
31,Calvin Harris,2022-05-06 06:02,0,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd
32,Calvin Harris,2022-05-06 06:08,219159,My Way,1vvNmPOiUuyCbgWmtc6yfm
33,Nicky Romero,2022-05-06 06:11,27956,Legacy,1AQcmI8nrf66qCGI0g9Nts
34,Sick Individuals,2022-05-06 06:11,180304,I AM - Radio Edit,51fVTCGq3cgLQVjHdkOU6L
35,Mac DeMarco,2022-05-06 06:12,1207,For the First Time,2R4AlwtrrkMaRKojcTIzmL
36,Mac DeMarco,2022-05-06 06:12,5549,On the Level,4RpwQDPnn1GhWpZooUcCzd
37,Jeremih,2022-05-06 06:12,882,oui,0PJIbOdMs3bd5AT8liULMQ
38,Playboi Carti,2022-05-06 06:12,766,FlatBed Freestyle,5nayhWICkQGMTkisxVMbRw
39,Led Zeppelin,2022-05-06 06:12,139,Stairway to Heaven - Remaster,5CQ30WqJwcep0pYcV4AMNc
40,$uicideboy$,2022-05-06 06:12,952,"...And to Those I Love, Thanks for Sticking Around",30QR0ndUdiiMQMA9g1PGCm
41,$uicideboy$,2022-05-06 06:13,57980,"...And to Those I Love, Thanks for Sticking Around",30QR0ndUdiiMQMA9g1PGCm
