,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
0,0,0,0,6vN77lE9LK6HP2DewaN6HZ,0.346,0.108,119.957,0.53,0.0355,0.0,0.963,142273,-9.309,0.562,0,5
1,1,1,1,63p3Slj0shAFP0Q7dQetj5,0.427,0.0818,96.025,0.105,0.0703,0.000337,0.926,268480,-7.584,0.304,0,10
2,2,2,2,5W8jRrZ6tWrTrqnKRtIQBf,0.656,0.0986,88.967,0.425,0.104,0.0,0.861,218210,-7.867,0.331,0,4
3,3,3,3,79XrkTOfV1AqySNjVlygpW,0.571,0.534,172.104,0.478,0.38,0.0,0.747,181933,-7.916,0.553,1,11
4,4,4,4,0WSEq9Ko4kFPt8yo3ICd6T,0.545,0.258,118.029,0.168,0.00904,9.48e-05,0.798,226653,-6.466,0.212,1,1
5,5,5,5,7wsmIIm0xWmtP7TmACXkJn,0.617,0.319,138.066,0.0534,0.17,0.0,0.836,206702,-4.363,0.866,1,0
6,6,6,6,6UjfByV1lDLW0SOVQA4NAi,0.391,0.0945,131.018,0.063,0.0317,0.000502,0.877,189230,-8.196,0.122,1,1
7,7,7,7,6HfOzLLjsaXsehIFEsrxTk,0.687,0.137,143.931,0.382,0.155,0.0,0.746,188320,-7.475,0.283,1,1
8,8,8,8,7ycWLEP1GsNjVvcjawXz3z,0.569,0.1,80.015,0.106,0.0609,0.0816,0.854,205040,-8.151,0.294,0,5
9,9,9,9,6gi6y1xwmVszDWkUqab1qw,0.591,0.196,139.864,0.225,0.0104,0.0,0.802,157712,-4.895,0.309,1,8
10,10,10,10,6QvxTX9zvo4u7XhP9vOP3n,0.47,0.0884,126.992,0.223,0.49,0.0,0.79,146467,-8.594,0.53,1,1
11,11,11,11,7JuHVG3qQKQKxC4doneXVW,0.538,0.126,146.933,0.384,0.151,0.0,0.759,184490,-8.256,0.831,0,8
12,12,12,12,5dqeWGM9sqLd5bZhyBikrZ,0.73,0.0736,148.038,0.0689,0.00421,0.0,0.679,167840,-7.483,0.292,1,1
13,13,13,13,3cWmqvMwVQKDigWLSZ3w9h,0.612,0.142,149.999,0.232,0.0398,0.0,0.773,193575,-5.73,0.381,1,8
14,14,14,14,0ct6r3EGTcMLPtrXHDvVjc,0.835,0.249,125.983,0.0433,0.0166,0.0,0.527,176658,-5.298,0.654,1,6
15,15,15,15,6LNjIsgHNs4q75uPt4rYf6,0.85,0.204,125.096,0.0455,0.00849,0.000175,0.416,205440,-4.91,0.142,0,1
16,16,16,16,4dTaAiV9xFFCxnPur9c9yL,0.87,0.246,129.98,0.343,0.0015,2.82e-06,0.561,210093,-6.103,0.498,1,8
17,17,17,17,0IkKz2J93C94Ei4BvDop7P,0.727,0.266,129.993,0.142,0.0189,0.0,0.75,262173,-4.21,0.359,0,5
18,18,18,18,6qn9YLKt13AGvpq9jfO8py,0.766,0.108,127.986,0.0383,0.025,0.00138,0.734,215227,-4.485,0.6,1,1
19,19,19,19,1D3z6HTiQsNmZxjl7F7eoG,0.587,0.214,140.021,0.137,0.0622,0.0,0.597,218802,-7.026,0.0753,0,7
20,20,20,20,5NFYuqu8V6QXc6mzcLImd6,0.635,0.357,130.018,0.155,0.0253,0.0,0.787,209413,-8.271,0.237,0,4
21,21,21,21,5faz5WYRJdRDiCa42DSgHR,0.463,0.0833,144.039,0.174,0.038,0.0,0.914,153360,-10.187,0.532,0,6
22,22,22,22,0uqsdBw9KvD8jSWmfMmMAp,0.442,0.106,81.021,0.339,0.0698,0.0,0.707,220413,-10.395,0.344,0,0
23,23,23,23,6OaVWaGfhXn70ZJfdVcabn,0.811,0.411,147.045,0.0712,0.0204,0.0,0.731,218284,-3.225,0.426,1,1
24,24,24,24,7KOV7goz91wTufZxO51Ebn,0.469,0.137,76.346,0.159,0.0661,0.103,0.441,147122,-11.868,0.0659,0,10
25,25,25,25,0UTyLmkQgPOEIz95OVAJTR,0.582,0.124,121.972,0.267,0.00466,0.0,0.667,316733,-5.791,0.141,0,11
26,26,26,26,3xVZYkcuWalGudeKl861wb,0.618,0.351,82.03,0.0437,0.0558,0.0,0.627,197443,-8.529,0.848,1,2
27,27,27,27,1PS1QMdUqOal0ai3Gt7sDQ,0.696,0.0554,93.034,0.348,0.0195,0.0,0.629,207627,-5.572,0.623,0,1
28,28,28,28,5itOtNx0WxtJmi1TQ3RuRd,0.887,0.0811,122.015,0.0361,0.016,0.000503,0.807,229184,-4.311,0.606,0,1
29,29,29,29,1vvNmPOiUuyCbgWmtc6yfm,0.913,0.161,119.986,0.0426,0.093,3.69e-05,0.818,219160,-3.06,0.536,0,4
30,30,30,30,1AQcmI8nrf66qCGI0g9Nts,0.707,0.12,127.905,0.0458,0.0609,0.0,0.584,195704,-3.671,0.186,0,0
31,31,31,31,51fVTCGq3cgLQVjHdkOU6L,0.912,0.261,127.977,0.037,0.0189,0.572,0.582,202500,-4.593,0.236,0,9
32,32,32,32,2R4AlwtrrkMaRKojcTIzmL,0.529,0.178,75.515,0.0517,0.296,0.0093,0.551,182307,-10.469,0.521,0,5
33,33,33,33,4RpwQDPnn1GhWpZooUcCzd,0.473,0.199,77.494,0.0269,0.0927,0.398,0.573,227653,-10.838,0.523,0,8
34,34,34,34,0PJIbOdMs3bd5AT8liULMQ,0.724,0.112,78.521,0.0964,0.213,0.0,0.418,238320,-3.724,0.604,1,5
35,35,35,35,5nayhWICkQGMTkisxVMbRw,0.552,0.158,153.157,0.288,0.0967,0.0,0.755,193973,-5.604,0.402,1,9
36,36,36,36,5CQ30WqJwcep0pYcV4AMNc,0.34,0.116,82.433,0.0339,0.58,0.0032,0.338,482830,-12.049,0.197,0,9
37,37,37,37,30QR0ndUdiiMQMA9g1PGCm,0.511,0.14,113.983,0.0409,0.124,9.04e-05,0.792,168490,-6.876,0.111,1,2
38,38,38,38,3N2nIBN3a9J40PIij4gW5F,0.419,0.12,120.973,0.17,0.333,1.74e-05,0.934,194000,-13.264,0.878,1,2
39,39,39,39,6IpvkngH89cA3hhPC84Leg,0.832,0.107,93.991,0.0717,0.232,0.0,0.561,176874,-7.661,0.666,1,9
40,40,40,40,152lZdxL1OR0ZMW6KquMif,0.449,0.0898,80.126,0.425,0.33,0.000162,0.736,219080,-11.462,0.326,0,1
41,41,41,41,4ZT9FnbFu1PaBfV3itxiqT,0.453,0.116,99.183,0.085,0.627,0.0,0.649,181891,-7.28,0.431,1,6
42,42,42,42,6PGoSes0D9eUDeeAafB2As,0.585,0.153,126.058,0.0924,0.264,0.0,0.8,213400,-7.343,0.779,1,10
43,43,43,43,21jGcNKet2qwijlDFuPiPb,0.762,0.0863,120.042,0.0395,0.192,0.00244,0.695,215280,-3.497,0.553,1,0
44,44,44,44,41L3O37CECZt3N7ziG2z7l,0.514,0.116,145.921,0.0897,0.366,0.0,0.687,210427,-6.612,0.494,0,9
45,45,45,45,4umIPjkehX1r7uhmGvXiSV,0.546,0.102,147.986,0.0575,0.3,0.0,0.806,212867,-6.637,0.874,1,9
46,46,46,46,6zeeWid2sgw4lap2jV61PZ,0.552,0.104,97.949,0.097,0.0765,0.334,0.596,229320,-10.278,0.112,0,0
47,47,47,47,1Cv1YLb4q0RzL6pybtaMLo,0.525,0.0714,112.022,0.0578,0.183,0.0,0.878,158571,-6.832,0.694,1,5
48,48,48,48,2wAJTrFhCnQyNSD3oUgTZO,0.427,0.307,93.004,0.106,0.0531,0.0,0.831,235320,-6.903,0.216,1,2
